Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
77507,"Red Mars (Mars Trilogy, #1)",Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""0553560735""","=""9780553560732""",0,3.86,Spectra Books,Mass Market Paperback,572,1993,1992,,2022/03/17,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
40275288,The Priory of the Orange Tree,Samantha Shannon,"Shannon, Samantha",,"=""""","=""""",4,4.23,Bloomsbury Publishing,Kindle Edition,848,2019,2019,2022/04/16,2021/08/30,,,read,,,,2,,,0,,,,,
52283742,Contact,Carl Sagan,"Sagan, Carl",,"=""""","=""""",4,4.13,Simon & Schuster,Kindle Edition,450,2019,1985,2022/04/14,2019/01/21,,,read,,,,1,,,0,,,,,
58945943,The Diving-Bell and the Butterfly,Jean-Dominique Bauby,"Bauby, Jean-Dominique",,"=""""","=""""",5,3.97,,Kindle Edition,,2019,1997,2022/04/16,2022/04/16,,,read,,,,1,,,0,,,,,
10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",4,4.32,Bantam,Kindle Edition,1125,2011,2011,2015/08/01,2022/04/09,,,read,,,,1,,,0,,,,,
3583368,Stephen King Goes to the Movies,Stephen King,"King, Stephen",,"=""1416592369""","=""9781416592365""",4,3.90,Pocket Books,Paperback,626,2009,2009,2015/10/01,2022/04/09,,,read,,,,1,,,0,,,,,
2956,The Adventures of Huckleberry Finn,Mark Twain,"Twain, Mark","Walter Trier, John Seelye, Guy Cardwell","=""0142437174""","=""9780142437179""",3,3.82,Penguin Classics,Paperback,327,2002,1884,2002/01/01,2022/04/09,,,read,,,,1,,,0,,,,,
231804,The Outsiders,S.E. Hinton,"Hinton, S.E.",,"=""""","=""""",4,4.11,Puffin Books (US/CAN),Mass Market Paperback,192,1997,1967,2003/10/01,2022/04/09,,,read,,,,1,,,0,,,,,
24583,The Adventures of Tom Sawyer,Mark Twain,"Twain, Mark","Guy Cardwell, Ivan Kušan, John Seelye","=""""","=""9780143039563""",4,3.92,Penguin Classics,Paperback,244,2006,1876,2003/01/01,2022/04/09,,,read,,,,1,,,0,,,,,
378,The Phantom Tollbooth,Norton Juster,"Juster, Norton",Jules Feiffer,"=""0394820371""","=""9780394820378""",5,4.18,Random House Bullseye Books,Paperback,248,1996,1961,2002/01/01,2022/04/09,,,read,,,,1,,,0,,,,,
5060378,"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""0307269981""","=""9780307269980""",4,4.24,Alfred A. Knopf,Hardcover,503,2009,2006,2013/01/01,2022/04/09,,,read,,,,1,,,0,,,,,
1768603,The White Tiger,Aravind Adiga,"Adiga, Aravind",,"=""1416562591""","=""9781416562597""",0,3.76,Free Press,Hardcover,276,2008,2008,,2022/04/10,to-read,to-read (#34),to-read,,,,0,,,0,,,,,
46654,"The Foundation Trilogy (Foundation, #1-3)",Isaac Asimov,"Asimov, Isaac",,"=""0380508567""","=""9780380508563""",0,4.41,,Paperback,679,1974,1953,,2022/04/09,to-read,to-read (#33),to-read,,,,0,,,0,,,,,
13497,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,"Martin, George R.R.",,"=""055358202X""","=""9780553582024""",3,4.14,Bantam Books,Mass Market Paperback,1061,2011,2005,,2022/04/09,,,read,,,,1,,,0,,,,,
62291,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"Martin, George R.R.",,"=""055357342X""","=""9780553573428""",5,4.54,Bantam,Mass Market Paperback,1177,2003,2000,,2022/04/09,,,read,,,,1,,,0,,,,,
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,"=""0553381695""","=""9780553381696""",3,4.41,Bantam,Paperback,969,2002,1998,,2022/04/09,,,read,,,,1,,,0,,,,,
